,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue id
168,"3005, Bern",46.9394,7.4499,Bernmobil Thunplatz,46.94054909025937,7.458455069011904,Tram Station,4be8f42588ed2d7f8b80cc1d
169,"3005, Bern",46.9394,7.4499,Seilpark Bern,46.939109,7.459318,Rock Climbing Spot,534150f8498e791f090d7495
170,"3005, Bern",46.9394,7.4499,Feuerstelle Eichholz,46.93356304319242,7.455722814741944,Harbor / Marina,4e204d3fb61cdcf1ecb0c0b4
171,"3005, Bern",46.9394,7.4499,Bernmobil Sandrain,46.93180424175603,7.445000930711651,Tram Station,4e85e766cc219931222c25d4
172,"3005, Bern",46.9394,7.4499,Restaurant Publica,46.940082384088164,7.437372124234152,Swiss Restaurant,4b556f74f964a5203fe427e3
173,"3005, Bern",46.9394,7.4499,silo lounge,46.94692878415882,7.456055872093257,Lounge,4ba3b715f964a520975738e3
174,"3005, Bern",46.9394,7.4499,Bronco,46.946893161771904,7.456251382827759,Bar,4c0410240d0e0f479870039a
175,"3005, Bern",46.9394,7.4499,Ligu Lehm,46.947167,7.456284,Coffee Shop,4cf89c9b7b44224be624d005
176,"3006, Bern",46.9458,7.4713,Zentrum Paul Klee,46.94907689493298,7.473841572179678,Art Museum,4b60630ef964a5201be329e3
177,"3006, Bern",46.9458,7.4713,Brasserie Obstberg,46.947516450659805,7.462662729501561,Swiss Restaurant,4d30ac60789a8cfadad531c6
178,"3006, Bern",46.9458,7.4713,Asia HuaKy 华记 餐厅,46.94364473785666,7.469533737214443,Asian Restaurant,4e7f5bf8e5fab4431f962656
179,"3006, Bern",46.9458,7.4713,Altes Tramdepot,46.94751475586315,7.459641353381963,Swiss Restaurant,4b10402cf964a520446c23e3
180,"3006, Bern",46.9458,7.4713,Bärenpark,46.947881935617865,7.459158897399902,Park,4b96ad27f964a52068dd34e3
181,"3006, Bern",46.9458,7.4713,Klösterli Weincafé,46.94918082618237,7.459400841005202,Wine Bar,4fd7a25ce4b013ab9ea8ea4a
182,"3006, Bern",46.9458,7.4713,Restaurant Punto,46.9411553579505,7.463785038543966,Pizza Place,4cd45cc62944b1f7679e56ec
183,"3006, Bern",46.9458,7.4713,Coop,46.94530088430154,7.4722162466957505,Supermarket,4fc255f3e4b045c5b58831aa
184,"3006, Bern",46.9458,7.4713,Brasserie Bärengraben,46.94850233360266,7.459461354778447,French Restaurant,4be6ca30bcef2d7fb47105e5
185,"3006, Bern",46.9458,7.4713,Migros,46.943978003689864,7.473492622375488,Grocery Store,50cf0feae4b0c490cfcc597d
186,"3006, Bern",46.9458,7.4713,Bärengraben,46.94807236403877,7.459652423858643,Zoo Exhibit,57139e12498e9fcbfad7d525
187,"3006, Bern",46.9458,7.4713,Freudenbergerplatz,46.945124665804755,7.472042501266812,Plaza,4c9973499818ef3bad391cfa
188,"3006, Bern",46.9458,7.4713,Pizzeria Strada,46.94512746089316,7.473061155850574,Pizza Place,4c9b2ab8eaa5a1436542d2e4
189,"3006, Bern",46.9458,7.4713,Bernmobil Ostring,46.945091,7.47192,Platform,52ceb50a11d2d9bb8d895195
190,"3006, Bern",46.9458,7.4713,Freudenberg-Zentrum,46.94534985342351,7.471944739197938,Shopping Mall,4d88d5517139b1f7c325a9d4
191,"3006, Bern",46.9458,7.4713,Bernmobil Burgernziel,46.94198983072242,7.466886002290879,Tram Station,4bebcb7962c0c9286983e2d4
192,"3006, Bern",46.9458,7.4713,Im blauen Bähnli (6),46.93938793983915,7.469979112984333,Light Rail Station,4d39ae540333a093c4454d34
