,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels,Latitude,Longitude
80,"6918, Lugano",Home Service,Park,Swiss Restaurant,Sandwich Place,Pool,Convenience Store,Ethiopian Restaurant,Doner Restaurant,Donut Shop,Eastern European Restaurant,2,45.9559,8.9215
81,"6925, Lugano",Hotel,Italian Restaurant,Irish Pub,Restaurant,Bike Rental / Bike Share,Swiss Restaurant,Bakery,BBQ Joint,Grocery Store,Train Station,0,45.9927,8.9391
82,"6932, Lugano",Supermarket,Hotel,Pizza Place,Bus Station,Steakhouse,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,1,46.0067,8.9296
83,"6962, Lugano",Hotel,Cable Car,Italian Restaurant,Park,Supermarket,Café,Farm,Falafel Restaurant,Factory,Event Space,0,46.0121,8.9692
84,"6963, Lugano",Gym,Zoo,Ethiopian Restaurant,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Event Space,5,46.0196,8.9763
85,"6964, Lugano",Italian Restaurant,Soccer Field,Auto Garage,Karaoke Bar,Building,Record Shop,Ethiopian Restaurant,Doner Restaurant,Donut Shop,Eastern European Restaurant,6,46.0326,8.9869
86,"6966, Lugano",Soccer Field,BBQ Joint,Pizza Place,Sports Bar,Ethiopian Restaurant,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,3,46.0549,9.0037
87,"6974, Lugano",Hotel,Restaurant,Trail,Swiss Restaurant,Mountain,Electronics Store,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant,0,46.0097,8.981
88,"6977, Lugano",Hotel,Ice Cream Shop,Factory,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Ethiopian Restaurant,Event Space,8,46.007,8.9792
89,"6978, Lugano",Italian Restaurant,Gas Station,Swiss Restaurant,Restaurant,Mediterranean Restaurant,Bus Station,Harbor / Marina,English Restaurant,Doner Restaurant,Donut Shop,6,46.0009,9.0097
90,"6979, Lugano",Swiss Restaurant,Japanese Restaurant,Italian Restaurant,Zoo,Dive Bar,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,2,46.0185,8.999
91,"8000, Zürich",Swiss Restaurant,Café,Bar,Plaza,Hotel,Dessert Shop,Lounge,Indian Restaurant,Vegetarian / Vegan Restaurant,French Restaurant,6,47.3667,8.55
92,"8001, Zürich",Swiss Restaurant,Bar,French Restaurant,Vegetarian / Vegan Restaurant,Italian Restaurant,Boutique,Lounge,Restaurant,Cocktail Bar,Department Store,6,47.372,8.5413
93,"8002, Zürich",Hotel,Restaurant,Bar,Italian Restaurant,Swiss Restaurant,Park,Tram Station,Coffee Shop,Athletics & Sports,Burger Joint,6,47.3606,8.5325
94,"8003, Zürich",Bar,Café,Italian Restaurant,Swiss Restaurant,Restaurant,Thai Restaurant,Pizza Place,Bakery,Japanese Restaurant,Middle Eastern Restaurant,6,47.3726,8.5161
95,"8004, Zürich",Bar,Nightclub,Swiss Restaurant,Asian Restaurant,Mediterranean Restaurant,Italian Restaurant,Hotel,Gay Bar,Japanese Restaurant,Moroccan Restaurant,6,47.378,8.5234
96,"8005, Zürich",Café,Hotel,Italian Restaurant,Nightclub,Bar,Swiss Restaurant,Thai Restaurant,Indian Restaurant,Food Truck,Park,6,47.3868,8.5207
